id,degree,in_degree,out_degree,pagerank,community
0x0000000000000000000000000000000000000000,125,20,105,0.00862692351657099,0
0x03b16ab6e23bdbeeab719d8e4c49d63674876253,3,2,1,0.00012019185543508461,0
0x048a58645447ecf7e2ee4ec95804aa9062075ebe,3,1,2,2.4283865660243186e-05,1
0x06356bceef8333b15345a6c437d3e1427d1af048,3,2,1,4.1772256684651906e-05,1
0x0773abf9620b170152294049a6fc3e1862ab08d0,1,1,0,2.0295870587074542e-05,0
0x07ae8551be970cb1cca11dd7a11f47ae82e70e67,65,2,63,0.0005774198191160352,0
0x082b08ad5a21390d11f364bb606b7866de75b283,3,1,2,2.239944279446175e-05,1
0x09060f6d5df9b0a4561441335747f40bb9c4955d,2,1,1,5.880742330693267e-05,0
0x098ce3f306e6a361ea33edbd5d20bbf1c62cce62,3,1,2,2.1773379637501272e-05,1
0x0cb0354e9c51960a7875724343dfc37b93d32609,143,49,94,0.0018792837922017244,0
0x0e8ae15b828b2bff7d825046f2148f9937aed014,4,2,2,3.600113140220341e-05,0
0x0e91215c39237af4d38bb5ede9f515c112fcac2a,2,1,1,3.9351306736776254e-05,0
0x14bd12bf2809441ab4710ac1357b492480133d05,3,2,1,3.8694328792296326e-05,1
0x1754fbb0fe84aac3937e24bac35f5934c0123b9f,3,1,2,2.2052700122914408e-05,0
0x17709af8917f108c696e8ed9a8676ccb6cf84924,2,1,1,2.124363388930394e-05,0
0x1a9b315367fc746b479dbb6a143a10cd4642aad8,3,2,1,7.897972737196435e-05,0
0x1b4daf760e5d00d67fbe16633b29dda26018969f,3,1,2,2.0954681663014493e-05,1
0x1ccda292888d4611bf74f11fff78e3e8ed66f180,1,1,0,2.0296833761162172e-05,0
0x1da04edb41a85f0675d610b1d81b09add2b5bb25,3,2,1,4.4329330543121996e-05,2
0x2598bb0907deb4c2ea09f17aaeac0e4429d2d274,3,2,1,0.00012180845046526774,0
0x269dc1b7642402d62d6608fd1f3a49601f68222c,3,1,2,2.0763612587553245e-05,1
0x26f9fe0077204596a399fefa37015ce1868fc01e,1,1,0,2.2515347509192714e-05,0
0x2711f9add3bbb49adf81d554c2e5c6ac7c08c1c0,3,1,2,2.124363388930394e-05,1
0x28f0ea4d08a09be8fa6b37eb3a2adeb80970043c,3,1,2,2.172531725052846e-05,1
0x29f8c38909b5b4f2eeb9f20954cb19618e9bc9cb,1,1,0,2.028142297576007e-05,0
0x2b61287a1447ba6991c705b552b4acf5ff54c114,3,2,1,0.004853776687066254,0
0x2c02e8228ee4c8068f626706febca4c99671d7d4,2,1,1,2.2688395020751203e-05,0
0x2cab3506ad7cee6fe29f3a4695f69488baad98ec,3,1,2,2.9912200677987493e-05,0
0x2de5fbca7c49daa17131e5e2c30b8aa72cdcfd42,1,1,0,2.0305983914994675e-05,0
0x2e3218464358b2e1ccc00c2fc67f9eed6f328c29,3,1,2,2.643514222163776e-05,1
0x30f2de8b49fc2f44933be85d69f1d7b96b798376,2,2,0,2.222962397625601e-05,0
0x3236fbb6788de14dc398f9ee6a25df365982cb35,3,1,2,2.0954681663014493e-05,0
0x3689259528aeb9d3dc81e618499311816082d987,3,1,2,2.076204684548819e-05,1
0x36c9fdbf2eafdb64f0082be0e824dc4605603e71,2,1,1,3.328330998469777e-05,0
0x3af69d6fd5f7d0eae0e839478a9da3beed365b71,3,1,2,4.050711564193406e-05,1
0x3d12358e59131c1e9e0c2a1c919ce2d487c6e5f0,3,2,1,8.315183714124267e-05,0
0x422b48bfeaedda5326e8ba5c12b5b034f38e0cfd,3,1,2,2.1966014455027574e-05,0
0x428ab2ba90eba0a4be7af34c9ac451ab061ac010,28,2,26,0.001110984959816864,1
0x42af6f26de5d1ec7c6e11df32bb2348d9f83be1c,3,2,1,2.843695809720215e-05,2
0x45215132eafa3ac74b121a3db55e388a5b193856,2,1,1,2.0376777210435586e-05,0
0x4868e599e0645b7745d666e595fbaa71043322e2,8,4,4,0.0001097356601653867,1
0x50712a8887f46749384f82c88148941094605839,4,2,2,2.598428714772467e-05,1
0x537560d63c307cabf4e9dd1f87fb1bb8cdc1e50b,3,2,1,2.7570101418333796e-05,2
0x55c68609f23c0fcd5be9b707d4feb25142b9ac7a,1,1,0,2.0966857917195512e-05,0
0x5627b1ca85071b30f01d03565e85dcc42b030807,2,1,1,2.6637408780040378e-05,0
0x5a28bad7c9d2e8ca4b8fb29e88c1f10916351631,2,1,1,0.0001455143994533253,0
0x5befd83cf170b74d23eff497880c8f0c2feb0d81,4,1,3,3.954394155430255e-05,0
0x5c1ba02159577c2a2e24e33db7303522ea4dd925,1,1,0,2.1290582317285708e-05,0
0x5d67e736f250626681fcb33d593bf38f3fff42cc,2,1,1,2.0510254059706956e-05,1
0x63f4a866b9638d02e9d5645c3a1c35c6189ada47,4,1,3,2.197517357601083e-05,1
0x65b064418fc050d48930fd209b5e6189541d7bf5,2,1,1,2.17252209331197e-05,0
0x65bdef0e45b652e86973c3408c7cd24dda9d844d,3,2,1,9.569669416661521e-05,1
0x683b71a3a58f358dd5507bec55994aac9eca0a5b,2,1,1,2.029972328342507e-05,3
0x6a132c282e41bad6d79e15bb8b04fc0f470d9bd2,4,2,2,2.3358694180445693e-05,0
0x6d8c33438a95b380914066e55fd3dc4bbfc7ddd6,1,1,0,2.0284312498022967e-05,0
0x6e820b1bdda52ae36a5cc593d93b3911efc9f13e,3,1,2,2.2526620012040387e-05,1
0x7030319e22330e8d054d72ed1cbb5755e91ce9da,1,1,0,2.2803671400751447e-05,0
0x71bff13c8f507d66a486b675e4091fca88b72978,3,1,2,2.4690382882950147e-05,0
0x7388319df4bbecfa54af64cee90893f7df86041d,3,1,2,2.1205106925798684e-05,0
0x73a31655aafdbb33b7186f9d8c713679dad3c4a8,3,1,2,2.3171141662253345e-05,0
0x75a166728f4a35691b97186335539d7169c254e4,4,2,2,2.599466291135797e-05,1
0x7c260ef89b4a7a68c8a679c0fc8f4b9779c18b1c,4,2,2,0.00011745442022844769,1
0x7d9d50af6f9dabc4854d4c53534ebdfdd29a98c8,2,1,1,0.00011418689260514959,0
0x7e9600586d7454b6a6ace1c9af8b8e303defa1ee,4,1,3,2.1917855750645998e-05,1
0x850b4d0b96c4c17d8f6d183c7e09add721256133,2,1,1,2.1677062228738122e-05,3
0x856565db827588a88780454863f98a4a323e13aa,2,1,1,0.0004055500948542748,0
0x8875844dd12a6ddad0307ecf7b120bca1df19845,2,1,1,2.056941202796189e-05,1
0x8b3177a76361e35c21eae8c391d79acdf90bbeb1,3,1,2,2.5096330239829967e-05,3
0x8f5957cc84d6429b8cfb14c3d138b2d98c56d107,2,1,1,3.170576672984817e-05,1
0x9248a915b377a4477da047ae90d695f2fcebbbfd,5,1,4,2.4133156152198462e-05,0
0x9352ad36128b1946ce5b51280ea3255327165c2f,3,1,2,2.4133156152198462e-05,0
0x9673b849103470a3f58f284ba29e44ac1226a35c,2,1,1,2.9912200677987493e-05,0
0x98036d0c23831c17edb538e5ce507bf9e19fc73e,2,1,1,2.0417783865629457e-05,1
0x9805c014036243aa9964c82f00bd3a1374e2ee2f,3,2,1,4.040805781619547e-05,0
0x9d6c85e996e4a8df188477960dc919fd84a118c7,3,1,2,2.1407373484201303e-05,0
0x9efc62c76e7273b796b8638bbb582d09afee3866,3,1,2,3.562286131268946e-05,0
0xacd0fa618b9681248cdc4eec93f3c06ee32548dd,3,1,2,7.922671396472059e-05,0
0xb638febc7f5c4cf75ff4ee2827c9820a857bf2eb,1,1,0,2.5223294655271447e-05,0
0xbb83e09e6540aa4bee15815eb2329369d1d98826,3,2,1,0.00013292226239506593,3
0xbfff16a8181e6f0bfea125acde57c0bbf57b893d,3,2,1,7.957502655868615e-05,3
0xc446569e98466813d4a49cead6d9377215f6e244,4,2,2,2.065589797546961e-05,4
